build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","60","2026-05-14T04:59:06Z","35575929","284591","28.110329","0.224404"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","80","2026-05-14T04:59:06Z","43178248","14038838","24.615031","5.601271"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","100","2026-05-14T04:59:07Z","36411726","1348318","27.493117","0.993884"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","120","2026-05-14T04:59:07Z","36102951","1243082","27.723815","0.916771"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","160","2026-05-14T04:59:07Z","36193423","800816","27.639883","0.596332"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","200","2026-05-14T04:59:08Z","35024808","463209","28.555162","0.375362"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","256","2026-05-14T04:59:08Z","36152027","1273528","27.687374","0.937232"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","320","2026-05-14T04:59:09Z","34860543","210008","28.686555","0.171988"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","512","2026-05-14T04:59:10Z","35077772","234383","28.509093","0.189299"
build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","60","2026-05-14T05:11:08Z","35957133","537860","27.815877","0.416538"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","80","2026-05-14T05:11:09Z","40146423","10430298","25.949520","5.008849"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","100","2026-05-14T05:11:09Z","35628981","578736","28.072903","0.451349"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","120","2026-05-14T05:11:09Z","36439297","814720","27.453568","0.596402"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","160","2026-05-14T05:11:10Z","35736620","452522","27.986063","0.351722"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","200","2026-05-14T05:11:10Z","35750472","574560","27.977371","0.444319"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","256","2026-05-14T05:11:11Z","35378124","786106","28.276918","0.611175"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","320","2026-05-14T05:11:11Z","36300848","297974","27.549048","0.225847"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","512","2026-05-14T05:11:12Z","36416202","423026","27.463230","0.314936"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q8_0","q8_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","60","2026-05-14T05:19:19Z","35165354","374637","28.439695","0.306952"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q8_0","q8_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","80","2026-05-14T05:19:20Z","34740400","348356","28.787237","0.287597"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q8_0","q8_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","100","2026-05-14T05:19:20Z","38081982","7161865","26.866191","4.034923"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q8_0","q8_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","120","2026-05-14T05:19:20Z","35090835","264639","28.498755","0.213330"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q8_0","q8_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","160","2026-05-14T05:19:21Z","35310479","677421","28.328395","0.533746"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q8_0","q8_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","200","2026-05-14T05:19:21Z","37239645","616181","26.858986","0.444581"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q8_0","q8_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","256","2026-05-14T05:19:22Z","35484647","328052","28.183118","0.259087"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q8_0","q8_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","320","2026-05-14T05:19:22Z","35694062","361125","28.018159","0.283529"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q8_0","q8_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","512","2026-05-14T05:19:23Z","36334923","240572","27.522697","0.182315"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q4_0","q4_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","60","2026-05-14T05:28:12Z","37606362","1722381","26.633695","1.158830"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q4_0","q4_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","80","2026-05-14T05:28:13Z","37117966","637122","26.947408","0.457117"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q4_0","q4_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","100","2026-05-14T05:28:13Z","35100434","302330","28.491353","0.243437"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q4_0","q4_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","120","2026-05-14T05:28:13Z","37252424","607364","26.849515","0.431242"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q4_0","q4_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","160","2026-05-14T05:28:14Z","37489736","542181","26.678403","0.383443"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q4_0","q4_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","200","2026-05-14T05:28:14Z","35394722","558873","28.258338","0.438510"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q4_0","q4_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","256","2026-05-14T05:28:15Z","35285430","206728","28.341081","0.164875"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q4_0","q4_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","320","2026-05-14T05:28:15Z","35753723","239616","27.970114","0.186431"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q4_0","q4_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","512","2026-05-14T05:28:16Z","48439546","24268340","23.480261","7.096154"
